Timestamp,University,Intended/Current Major,Plans after degree,Age,Gender,Household Monthly Expenses,Financial Assistance,"Technical (yes=1, no=0)"
10/21/2024 17:28:47,LUMS,Computer Science,Partially Employed (Academics with part time employment),21,Male,"Between 550,000 - 700,000",,1
10/21/2024 22:04:49,LUMS,Computer Science,Further Education (Masters/PhD) with a plan to enter the industry,21,Male,"Between 200,000 - 300,000",No,1
10/21/2024 22:42:32,LUMS,Computer Science,Employment (Full time Job),21,Female,"Between 200,000 - 300,000",No,1
10/21/2024 22:42:44,LUMS,Accounting and Finance,Further Education (Masters/PhD) with a plan to enter the industry,20,Female,"Between 300,000 - 400,000",Yes,1
10/21/2024 22:44:33,LUMS,Accounting and Finance,Further Education (Masters/PhD) with a plan to enter the industry,21,Female,"Between 500,000 - 600,000",No,1
10/21/2024 22:45:34,LUMS,Computer Engineering,Further Education (Masters/PhD) with a plan to enter academia (research/teaching),21,Male,"Between 200,000 - 300,000",No,1
10/21/2024 22:45:57,LUMS,Accounting and Finance,"Self-Employed (Business, Startup etc.)",19,Female,"Above 800,000",Yes,1
10/21/2024 22:46:33,LUMS,Management Sciences,Employment (Full time Job),21,Male,"Between 300,000 - 400,000",No,1
10/21/2024 22:50:02,BNU,Communication and Design,Partially Employed (Academics with part time employment),19,Female,"Between 500,000 - 600,000",No,1
10/21/2024 22:50:09,LUMS,Computer Science,Further Education (Masters/PhD) with a plan to enter academia (research/teaching),20,Male,"Between 600,000 - 700,000",No,1
10/21/2024 22:50:23,LUMS,Economics,Employment (Full time Job),19,Female,"Between 400,000 - 500,000",No,1
10/21/2024 22:51:34,LUMS,Accounting and Finance,Further Education (Masters/PhD) with a plan to enter the industry,20,Male,"Between 400,000 - 500,000",No,1
10/21/2024 22:52:07,LUMS,Economics and Mathematics (Joint),Further Education (Masters/PhD) with a plan to enter academia (research/teaching),21,Female,"Between 400,000 - 500,000",No,1
10/21/2024 22:53:49,LUMS,Computer Science,Further Education (Masters/PhD) with a plan to enter the industry,20,Female,"Between 300,000 - 400,000",No,1
10/21/2024 22:54:45,FAST,Computer Science,Further Education (Masters/PhD) with a plan to enter the industry,24,Female,"Between 400,000 - 500,000",No,1
10/21/2024 22:57:38,LUMS,Management Sciences,Further Education (Masters/PhD) with a plan to enter the industry,20,Male,"Between 100,000 - 200,000",Yes,0
