Timestamp,What is your age bracket?,What is your field of study or career?,What is your current educational or career status?,"How often do you use AI tools (e.g., ChatGPT, Grammarly, LinkedIn AI features)?","Which AI tools do you use most frequently? (Select all that apply)

",For what purposes do you use AI tools? (Select all that apply),"On a scale of 1 to 5, how prepared do you feel for your career?","On a scale of 1 to 5, how much do you think AI tools have improved your skills for career readiness?",Which skills do you believe have improved due to AI tools? (Select all that apply),Which skills do you believe have weakened due to AI tools? (Select all that apply),How confident are you in your ability to solve career-related problems without AI assistance?
1/4/2025 3:43:47,18-21,Computer Science / IT,College student,Weekly,"ChatGPT, Github Co-pilot, Grammarly","Writing Code (from scratch), Fixing or debugging code, Written Assignments (including Research), Exam Preparation",2,2,"Writing and communication, Time management, Research skills","Technical skills (e.g., coding, analytics), Problem-solving, Creativity",3
1/4/2025 4:06:51,18-21,Computer Science / IT,College student,Weekly,"ChatGPT, Grammarly, Quillbot","Fixing or debugging code, Written Assignments (including Research), Exam Preparation, Learning new skills",4,3,"Technical skills (e.g., coding, analytics), Problem-solving","Writing and communication, Creativity, Research skills",3
1/4/2025 4:29:14,18-21,Finance,College student,Occasionally,"ChatGPT, Grammarly","Written Assignments (including Research), Exam Preparation, Learning new skills",4,4,"Writing and communication, Research skills",Problem-solving,5
1/4/2025 4:30:04,22-25,Management,College student,Occasionally,ChatGPT,Written Assignments (including Research),4,4,Writing and communication,Creativity,5
1/4/2025 4:34:31,18-21,Computer Science / IT,College student,Daily,ChatGPT,"Writing Code (from scratch), Fixing or debugging code, Written Assignments (including Research), Exam Preparation, Resume writing, Learning new skills",1,4,"Writing and communication, Technical skills (e.g., coding, analytics), Problem-solving, Time management, Critical thinking, Creativity, Research skills","Writing and communication, Technical skills (e.g., coding, analytics), Problem-solving, Time management, Critical thinking, Creativity, Research skills",1
1/4/2025 6:17:16,22-25,Finance,College student,Daily,"ChatGPT, Quillbot","Writing Code (from scratch), Fixing or debugging code, Written Assignments (including Research), Exam Preparation, Resume writing, Interview preparation",3,3,"Time management, Research skills","Writing and communication, Technical skills (e.g., coding, analytics), Problem-solving, Critical thinking",3
1/4/2025 9:56:09,18-21,Social Sciences / Humanities,College student,Daily,"ChatGPT, Quillbot","Writing Code (from scratch), Fixing or debugging code, Written Assignments (including Research), Exam Preparation, Resume writing, Interview preparation, Learning new skills",1,4,"Writing and communication, Problem-solving, Time management","Technical skills (e.g., coding, analytics)",3
1/4/2025 10:34:05,18-21,Economics,College student,Weekly,"ChatGPT, Grammarly, Quillbot, Chat PDF","Written Assignments (including Research), Exam Preparation, Learning new skills",4,4,"Writing and communication, Time management, Research skills","Problem-solving, Critical thinking",3
1/4/2025 10:37:16,18-21,Computer Science / IT,College student,Daily,"ChatGPT, Github Co-pilot, Grammarly",Fixing or debugging code,4,4,"Technical skills (e.g., coding, analytics), Problem-solving, Critical thinking","Writing and communication, Problem-solving",3
1/4/2025 10:54:00,18-21,Finance,College student,Daily,ChatGPT,"Written Assignments (including Research), Exam Preparation",2,3,"Creativity, Research skills","Writing and communication, Critical thinking",1
1/4/2025 15:17:31,22-25,"Natural Sciences (e.g., Physics, Chemistry, Biology)",Recent graduate,Weekly,"ChatGPT, Grammarly","Written Assignments (including Research), Exam Preparation",4,4,"Writing and communication, Time management, Research skills",Problem-solving,5
1/4/2025 15:20:27,Under 18,Business / Management,College student,Daily,ChatGPT,"Writing Code (from scratch), Fixing or debugging code, Written Assignments (including Research), Exam Preparation, Resume writing, Interview preparation, Learning new skills",3,4,"Writing and communication, Technical skills (e.g., coding, analytics), Time management, Creativity, Research skills","Problem-solving, Critical thinking",3
1/4/2025 15:24:46,22-25,Business / Management,College student,Daily,"ChatGPT, Grammarly","Written Assignments (including Research), Learning new skills",1,3,"Creativity, Research skills","Problem-solving, Critical thinking",2
